source,target,segment_count,journey_count,avg_delay_delta,avg_arrival_delay_next,avg_arrival_delay_current,weight,avg_delay_delta_positive
de:08416:10323:0:4,de:08416:10327:0:4,2,2,,0.5,0.0,0.5,
de:08416:10327:0:4,de:08416:10326:0:4,2,2,0.1,0.6,0.5,0.1,0.1
de:08416:10326:0:4,de:08416:10338:0:1,2,2,-0.6,0.0,0.6,-0.6,0.0
de:08416:10338:0:1,de:08416:10310:0:4,2,2,0.0,0.0,0.0,0.0,0.0
de:08416:10310:0:4,de:08416:10309:0:4,1,1,0.6,0.6,0.0,0.6,0.6
de:08416:10309:0:4,de:08416:10337:0:4,1,1,0.1,0.7,0.6,0.1,0.1
de:08416:10337:0:4,de:08416:10308:0:4,1,1,-0.1,0.6,0.7,-0.1,0.0
de:08416:10308:0:4,de:08416:10333:0:4,1,1,-0.1,0.5,0.6,-0.1,0.0
de:08416:10333:0:4,de:08416:10307:0:4,1,1,-0.5,0.0,0.5,-0.5,0.0
de:08416:10307:0:4,de:08416:10302:0:4,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10302:0:4,de:08416:10306:0:4,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10306:0:4,de:08416:10305:0:4,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10305:0:4,de:08416:10300:0:4,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10300:0:4,de:08416:10505:0:4,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10505:0:4,de:08416:10506:0:4,2,2,0.0,0.0,0.0,0.0,0.0
de:08416:10506:0:4,de:08416:10507:0:8,3,3,0.0,0.0,0.0,0.0,0.0
de:08416:10507:0:8,de:08416:10508:0:4,18,18,0.022,0.15,0.128,0.022,0.022
de:08416:10508:0:4,de:08416:10502:0:5,18,18,0.006,0.156,0.15,0.006,0.006
de:08416:10502:0:5,de:08416:10501:0:4,18,18,-0.061,0.094,0.156,-0.061,0.0
de:08416:10501:0:4,de:08416:11000:14:J,17,17,-0.065,0.035,0.1,-0.065,0.0
de:08416:11000:11:C,de:08416:10501:0:2,1,1,,0.0,,0.0,
de:08416:10501:0:2,de:08416:10520:0:2,3,3,0.0,0.0,0.0,0.0,0.0
de:08416:10520:0:2,de:08416:10503:0:2,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10503:0:2,de:08416:10504:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10504:0:1,de:08416:10505:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10505:0:1,de:08416:10300:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10300:0:1,de:08416:10305:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10305:0:1,de:08416:10303:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10303:0:1,de:08416:10322:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10322:0:1,de:08416:10319:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10319:0:1,de:08416:10320:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10320:0:1,de:08416:10325:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10325:0:1,de:08416:10318:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10318:0:1,de:08416:10315:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10315:0:1,de:08416:10317:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10317:0:1,de:08416:10316:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10316:0:1,de:08416:10332:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10332:0:1,de:08416:10333:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10333:0:1,de:08416:10308:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:10308:0:1,de:08416:10337:0:1,1,1,0.0,0.0,0.0,0.0,0.0
