stop_point_ref,stop_name,call_count,avg_arrival_delay,avg_departure_delay,median_arrival_delay,median_departure_delay,latitude,longitude
de:08416:10323:0:4,Pfrondorf Lindenstraße,2,0.0,0.2,0.0,0.2,,
de:08416:10327:0:4,Pfrondorf Schönbuchhalle,2,0.5,0.5,0.5,0.5,,
de:08416:10326:0:4,Pfrondorf Maienfeldstraße,2,0.6,0.6,0.6,0.6,,
de:08416:10338:0:1,Pfrondorf Bei der Kirche,2,0.0,0.0,0.0,0.0,,
de:08416:10310:0:4,Pfrondorf Lusstraße,2,0.0,0.0,0.0,0.0,,
de:08416:10309:0:4,Pfrondorf Rathaus,1,0.6,0.6,0.6,0.6,,
de:08416:10337:0:4,Pfrondorf Steinbruchstraße,1,0.7,0.7,0.7,0.7,,
de:08416:10308:0:4,Pfrondorf Seestraße,1,0.6,0.6,0.6,0.6,,
de:08416:10333:0:4,Pfrondorf Zollernstraße,1,0.5,0.5,0.5,0.5,,
de:08416:10307:0:4,Tübingen Eichhaldenstraße,1,0.0,0.0,0.0,0.0,,
de:08416:10302:0:4,Tübingen Neuhaldenstraße,1,0.0,0.0,0.0,0.0,,
de:08416:10306:0:4,Tübingen Jürgensenstraße,1,0.0,0.0,0.0,0.0,,
de:08416:10305:0:4,Tübingen Stuttgarter Str.,2,0.0,0.0,0.0,0.0,,
de:08416:10300:0:4,Tübingen Landhausstraße,1,0.0,0.0,0.0,0.0,,
de:08416:10505:0:4,Tübingen Pauline-Krone-Heim,2,0.0,0.0,0.0,0.0,,
de:08416:10506:0:4,Tübingen Mohlstraße,3,0.0,0.0,0.0,0.0,,
de:08416:10507:0:8,Tübingen Hölderlinstraße,20,0.145,0.17,0.0,0.0,,
de:08416:10508:0:4,Tübingen Stadtgraben,18,0.15,0.15,0.0,0.0,,
de:08416:10502:0:5,Tübingen Nonnenhaus,18,0.156,0.178,0.0,0.0,,
de:08416:10501:0:4,Tübingen Neckarbrücke,18,0.094,0.117,0.0,0.0,48.51863,9.05795
