stop_id,stop_point_ref,stop_name,planned_time,estimated_time,line_name,destination,platform,journey_ref,operating_day_ref,delay_minutes
de:08416:10520,de:08416:10520:0:2,Tübingen Wilhelmstraße,2025-11-09 09:37:36,2025-11-09 09:37:36,1,Pfrondorf Lusstraße,,tub:09001::R:j25:806,2025-11-09,0.0
de:08416:10502,de:08416:10502:0:5,Tübingen Nonnenhaus,2025-11-09 09:43:48,2025-11-09 09:43:48,1,Tübingen Hauptbahnhof,,tub:09001::H:j25:244,2025-11-09,0.0
de:08416:10600,de:08416:10600:0:4,Tübingen Österbergstraße,2025-11-09 09:49:24,2025-11-09 09:49:24,10,Tübingen Hauptbahnhof,,tub:09010::H:j25:84,2025-11-09,0.0
de:08416:10600,de:08416:10600:0:1,Tübingen Österbergstraße,2025-11-09 09:37:06,2025-11-09 09:37:06,10,Tübingen Schwabstraße,,tub:09010::R:j25:194,2025-11-09,0.0
de:08416:10054,de:08416:10054:0:4,Tübingen Schwärzl. Str. 111,2025-11-09 10:20:18,,11,Tübingen Hauptbahnhof,,tub:09011::H:j25:189,2025-11-09,
de:08416:10054,de:08416:10054:0:4,Tübingen Schwärzl. Str. 111,2025-11-09 10:20:18,,11,Tübingen Schwärzlocher Str. 45,,tub:09011::R:j25:81,2025-11-09,
de:08416:10904,de:08416:10904:0:1,Tübingen Freibad,2025-11-09 10:08:00,2025-11-09 10:08:00,18,Hirschau Volksbank,,tub:33018::H:j25:216,2025-11-09,0.0
de:08416:11000,de:08416:11000:14:G,Tübingen Hauptbahnhof,2025-11-09 09:36:00,,18,Oberndorf Feuersee,Bstg. G,tub:33018::H:j25:169,2025-11-09,
de:08416:10904,de:08416:10904:0:1,Tübingen Freibad,2025-11-09 10:38:00,,18,Rottenburg E.-Bolz-Platz,,tub:33018::H:j25:200,2025-11-09,
de:08416:10904,de:08416:10904:0:4,Tübingen Freibad,2025-11-09 09:49:00,2025-11-09 09:51:42,18,Tübingen Hauptbahnhof,,tub:33018::R:j25:89,2025-11-09,2.7
de:08416:11000,de:08416:11000:14:H,Tübingen Hauptbahnhof,2025-11-09 09:29:00,2025-11-09 09:30:30,19,Bühl Römerstraße,Bstg. H,rab:24019::H:25a:174,2025-11-09,1.5
de:08416:10904,de:08416:10904:0:1,Tübingen Freibad,2025-11-09 10:31:00,2025-11-09 10:31:00,19,Rottenburg Bahnhof,,rab:24019::H:25a:139,2025-11-09,0.0
de:08416:10904,de:08416:10904:0:4,Tübingen Freibad,2025-11-09 09:25:00,2025-11-09 09:27:24,19,Tübingen Hauptbahnhof,,rab:24019::R:25a:28,2025-11-09,2.4
de:08416:10502,de:08416:10502:0:5,Tübingen Nonnenhaus,2025-11-09 09:51:24,2025-11-09 09:51:24,2,Tübingen Hauptbahnhof,,tub:09002::H:j25:383,2025-11-09,0.0
de:08416:10520,de:08416:10520:0:3,Tübingen Wilhelmstraße,2025-11-09 09:35:48,2025-11-09 09:35:48,2,Tübingen WHO Ulmenweg,,tub:09002::R:j25:148,2025-11-09,0.0
de:08416:10610,de:08416:10610:0:1,Tübingen Jugendherberge,2025-11-09 09:30:30,2025-11-09 09:30:48,22,Tübingen Carlo-Steeb-Str.,,tub:09022::H:j25:192,2025-11-09,0.3
de:08416:10610,de:08416:10610:0:4,Tübingen Jugendherberge,2025-11-09 09:53:48,2025-11-09 09:54:06,22,Tübingen Hauptbahnhof,,tub:09022::R:j25:82,2025-11-09,0.3
de:08416:10517,de:08416:10517:0:1,Tübingen Blaue Brücke,2025-11-09 09:43:36,2025-11-09 09:43:36,3,Tübingen Nelkenweg,,tub:09003::H:j25:882,2025-11-09,0.0
de:08416:10520,de:08416:10520:0:3,Tübingen Wilhelmstraße,2025-11-09 09:49:48,2025-11-09 09:49:48,3,Tübingen WHO Ulmenweg,,tub:09003::R:j25:369,2025-11-09,0.0
de:08416:10716,de:08416:10716:0:1,Tübingen Neuffenstraße,2025-11-09 11:51:00,,31,Kreßbach Schloss,,tub:09031::R:j25:62,2025-11-09,
de:08416:10520,de:08416:10520:0:3,Tübingen Wilhelmstraße,2025-11-09 09:29:48,2025-11-09 09:30:42,4,Tübingen WHO Ulmenweg,,tub:09004::R:j25:237,2025-11-09,0.9
de:08416:10517,de:08416:10517:0:1,Tübingen Blaue Brücke,2025-11-09 09:33:24,2025-11-09 09:33:24,4,Tübingen Wennf. Garten,,tub:09004::H:j25:530,2025-11-09,0.0
de:08416:10517,de:08416:10517:0:1,Tübingen Blaue Brücke,2025-11-09 09:27:36,2025-11-09 09:27:36,5,Tübingen Derend. Käppele,,tub:09005::H:j25:918,2025-11-09,0.0
de:08416:10703,de:08416:10703:0:4,Tübingen Windfeldstraße,2025-11-09 09:50:48,2025-11-09 09:50:48,5,Tübingen WHO Ahornweg,,tub:09005::R:j25:390,2025-11-09,0.0
de:08416:10044,de:08416:10044:0:4,Tübingen Neckarhalde,2025-11-09 09:43:54,2025-11-09 09:43:54,6,Tübingen Hauptbahnhof,,tub:09006::R:j25:78,2025-11-09,0.0
de:08416:10044,de:08416:10044:0:1,Tübingen Neckarhalde,2025-11-09 09:37:12,2025-11-09 09:37:12,6,Tübingen Hirschauer Straße,,tub:09006::H:j25:266,2025-11-09,0.0
de:08416:10520,de:08416:10520:0:3,Tübingen Wilhelmstraße,2025-11-09 09:51:18,2025-11-09 09:51:18,6,Tübingen Sand Drosselweg,,tub:09006::R:j25:144,2025-11-09,0.0
de:08416:10517,de:08416:10517:0:1,Tübingen Blaue Brücke,2025-11-09 09:38:00,,7611,Jettenburg Brunnenplatz,,tub:34611::H:j25:134,2025-11-09,
de:08416:10800,de:08416:10800:0:4,Tübingen Landestheater,2025-11-09 10:20:00,,7611,Tübingen Hauptbahnhof,,tub:34611::R:j25:58,2025-11-09,
de:08416:10517,de:08416:10517:0:1,Tübingen Blaue Brücke,2025-11-09 09:36:00,2025-11-09 09:36:00,7625,Gomaringen ZOB,,tub:80625::H:j25:75,2025-11-09,0.0
de:08416:10800,de:08416:10800:0:4,Tübingen Landestheater,2025-11-09 10:18:00,,7625,Tübingen Hauptbahnhof,,tub:80625::R:j25:37,2025-11-09,
de:08416:10520,de:08416:10520:0:2,Tübingen Wilhelmstraße,2025-11-09 09:38:30,2025-11-09 09:38:30,8,Hagelloch Dornäckerweg,,tub:09008::R:j25:483,2025-11-09,0.0
de:08416:10502,de:08416:10502:0:5,Tübingen Nonnenhaus,2025-11-09 09:50:36,2025-11-09 09:50:36,8,Tübingen Hauptbahnhof,,tub:09008::H:j25:213,2025-11-09,0.0
de:08416:10520,de:08416:10520:0:3,Tübingen Wilhelmstraße,2025-11-09 09:34:00,2025-11-09 09:34:00,828,Echterdingen Flughafen/Messe (SAB),,vvs:31828::R:j25:210,2025-11-09,0.0
de:08416:10507,de:08416:10507:0:8,Tübingen Hölderlinstraße,2025-11-09 10:19:00,2025-11-09 10:19:00,828,Tübingen Hauptbahnhof,,vvs:31828::H:j25:435,2025-11-09,0.0
de:08416:10520,de:08416:10520:0:2,Tübingen Wilhelmstraße,2025-11-09 09:35:30,2025-11-09 09:35:30,9,Tübingen Bismarckturm,,tub:09009::R:j25:41,2025-11-09,0.0
de:08416:10502,de:08416:10502:0:5,Tübingen Nonnenhaus,2025-11-09 09:54:36,2025-11-09 09:54:36,9,Tübingen Hauptbahnhof,,tub:09009::H:j25:96,2025-11-09,0.0
de:08416:11000,de:08416:11000:2:1,Tübingen Hauptbahnhof,2025-11-09 09:33:00,2025-11-09 09:37:00,MEX18,Heilbronn Hauptbahnhof,1,ddb:90T18:S:R:j25:472,2025-11-09,4.0
de:08416:11000,de:08416:11000:2:13,Tübingen Hauptbahnhof,2025-11-09 09:41:00,2025-11-09 09:41:00,RB 63,Herrenberg,13,ddb:90T63::R:j25:393,2025-11-09,0.0
de:08416:11000,de:08416:11000:3:2,Tübingen Hauptbahnhof,2025-11-09 09:39:00,2025-11-09 09:39:00,RB 63,Reutlingen Hauptbahnhof,2,ddb:90T63::H:j25:75,2025-11-09,0.0
