phase,stop_point_ref,stop_name,stop_sequence,platform,arrival_planned,arrival_estimated,departure_planned,departure_estimated,arrival_delay_minutes,departure_delay_minutes,journey_ref,operating_day_ref,line_name,destination
onward,de:08416:11000:14:H,Tübingen Hauptbahnhof,1,Bstg. H,,,2025-11-09 09:35,2025-11-09 09:35,,0.0,tub:09006::H:j25:266,2025-11-09,6,Tübingen Hirschauer Straße
onward,de:08416:10044:0:1,Tübingen Neckarhalde,2,,2025-11-09 09:37,2025-11-09 09:37,2025-11-09 09:37,2025-11-09 09:37,0.0,0.0,tub:09006::H:j25:266,2025-11-09,6,Tübingen Hirschauer Straße
onward,de:08416:10045:0:1,Tübingen Biesingerstraße,3,,2025-11-09 09:38,2025-11-09 09:38,2025-11-09 09:38,2025-11-09 09:38,0.0,0.0,tub:09006::H:j25:266,2025-11-09,6,Tübingen Hirschauer Straße
onward,de:08416:10046:0:1,Tübingen Ernst-Bloch-Straße,4,,2025-11-09 09:38,2025-11-09 09:38,2025-11-09 09:38,2025-11-09 09:38,0.0,0.0,tub:09006::H:j25:266,2025-11-09,6,Tübingen Hirschauer Straße
onward,de:08416:10047:0:1,Tübingen Hennentalweg,5,,2025-11-09 09:40,2025-11-09 09:40,2025-11-09 09:40,,0.0,,tub:09006::H:j25:266,2025-11-09,6,Tübingen Hirschauer Straße
onward,de:08416:10016:0:4,Tübingen Rappenberg,6,,2025-11-09 09:40,,2025-11-09 09:40,,,,tub:09006::H:j25:266,2025-11-09,6,Tübingen Hirschauer Straße
onward,de:08416:10048:0:4,Tübingen Hirschauer Straße,7,,2025-11-09 09:41,,,,,,tub:09006::H:j25:266,2025-11-09,6,Tübingen Hirschauer Straße
onward,de:08416:10047:0:1,Tübingen Hennentalweg,1,,,,2025-11-09 09:40,2025-11-09 09:40,,0.0,tub:09006::R:j25:78,2025-11-09,6,Tübingen Hauptbahnhof
onward,de:08416:10016:0:4,Tübingen Rappenberg,2,,2025-11-09 09:40,2025-11-09 09:40,2025-11-09 09:40,2025-11-09 09:40,0.0,0.0,tub:09006::R:j25:78,2025-11-09,6,Tübingen Hauptbahnhof
onward,de:08416:10048:0:4,Tübingen Hirschauer Straße,3,,2025-11-09 09:41,2025-11-09 09:41,2025-11-09 09:41,2025-11-09 09:41,0.0,0.0,tub:09006::R:j25:78,2025-11-09,6,Tübingen Hauptbahnhof
onward,de:08416:10046:0:4,Tübingen Ernst-Bloch-Straße,4,,2025-11-09 09:42,2025-11-09 09:42,2025-11-09 09:42,2025-11-09 09:42,0.0,0.0,tub:09006::R:j25:78,2025-11-09,6,Tübingen Hauptbahnhof
onward,de:08416:10045:0:4,Tübingen Biesingerstraße,5,,2025-11-09 09:43,2025-11-09 09:43,2025-11-09 09:43,2025-11-09 09:43,0.0,0.0,tub:09006::R:j25:78,2025-11-09,6,Tübingen Hauptbahnhof
onward,de:08416:10044:0:4,Tübingen Neckarhalde,6,,2025-11-09 09:43,2025-11-09 09:43,2025-11-09 09:43,2025-11-09 09:43,0.0,0.0,tub:09006::R:j25:78,2025-11-09,6,Tübingen Hauptbahnhof
onward,de:08416:11000:15:N,Tübingen Hauptbahnhof,7,Bstg. N,2025-11-09 09:47,2025-11-09 09:47,,,0.0,,tub:09006::R:j25:78,2025-11-09,6,Tübingen Hauptbahnhof
onward,de:08416:11000:14:H,Tübingen Hauptbahnhof,1,Bstg. H,,,2025-11-09 10:05,2025-11-09 10:05,,0.0,tub:09006::H:j25:267,2025-11-09,6,Tübingen Hirschauer Straße
onward,de:08416:10044:0:1,Tübingen Neckarhalde,2,,2025-11-09 10:07,2025-11-09 10:07,2025-11-09 10:07,2025-11-09 10:07,0.0,0.0,tub:09006::H:j25:267,2025-11-09,6,Tübingen Hirschauer Straße
