group,n,mean,median,ci95_mean_low,ci95_mean_high,ci95_median_low,ci95_median_high,late_share,n_total,n_late
OVERALL: delay_minutes (all with estimated_time),186892,0.6056037711619545,0.0,0.5938041355435225,0.6175069425122531,0.0,0.0,0.18910386747426322,186892.0,35342.0
is_rainy=False,180829,0.5981396789231815,0.0,0.5863250501855344,0.6096916009047221,0.0,0.0,,,
precip_bin=0,180829,0.5981396789231815,0.0,0.5863250501855344,0.6096916009047221,0.0,0.0,,,
condition=dry,163472,0.6189353528433004,0.0,0.6061288477537436,0.6313447715816777,0.0,0.0,,,
is_weekend=False,150687,0.6763722152541362,0.0,0.6625602407639676,0.6898984484394806,0.0,0.0,,,
"cloud_bin=(63.0, 100.0]",136204,0.6643527356024788,0.0,0.649672201256938,0.6786847302575547,0.0,0.0,,,
month=2025-12,82482,0.6920685725370385,0.0,0.6737723685167673,0.71062783395165,0.0,0.0,,,
stop_name=Tübingen Neckarbrücke,75480,0.5957392686804452,0.0,0.5783093534711181,0.6130715752517223,0.0,0.0,,,
"stop_busyness_bin=(60150.0, 75480.0]",75480,0.5957392686804452,0.0,0.5783093534711181,0.6130715752517223,0.0,0.0,,,
daypart=Mittag (10-15),64222,0.5206922861324779,0.0,0.5045411619071346,0.537548581482981,0.0,0.0,,,
stop_name=Tübingen Hauptbahnhof,60150,0.46591022443890273,0.0,0.4472098919368246,0.48496184538653364,0.0,0.0,,,
"stop_busyness_bin=(16173.0, 60150.0]",60150,0.46591022443890273,0.0,0.4472098919368246,0.48496184538653364,0.0,0.0,,,
month=2026-01,57260,0.41687740132727913,0.0,0.4001658225637443,0.4345590289905694,0.0,0.0,,,
"stop_busyness_bin=(0.999, 16173.0]",51262,0.7840427607194415,0.0,0.7577694003355313,0.8096578362139597,0.0,0.0,,,
"wind_bin=(-0.001, 6.5]",50528,0.5749010449651678,0.0,0.5537575700601647,0.5963148650253325,0.0,0.0,,,
"temp_bin=(-9.600999999999999, 0.1]",47272,0.3823129971230327,0.0,0.36317550558470124,0.40108203587747504,0.0,0.0,,,
month=2025-11,47150,0.6835397667020149,0.0,0.6597925768822905,0.7075082184517497,0.0,0.0,,,
"temp_bin=(0.1, 2.9]",46658,0.4745209824681726,0.0,0.4516141926357753,0.49752111106348323,0.0,0.0,,,
"temp_bin=(6.5, 19.1]",46569,0.8562777813566966,0.0,0.8283470763812838,0.8837928664991733,0.0,0.0,,,
daypart=Abend-Peak (16-19),46409,0.9963498459350558,0.0,0.9680099226443146,1.0251112391992931,0.0,0.0,,,
"temp_bin=(2.9, 6.5]",46393,0.7133317526350957,0.0,0.6910940228051645,0.7356879270579613,0.0,0.0,,,
"cloud_bin=(-0.001, 63.0]",45943,0.4520797509957991,0.0,0.4327749602768648,0.4715866399669155,0.0,0.0,,,
destination=Tübingen Hauptbahnhof,45883,0.8671643092212802,0.0,0.8395968550443519,0.8955270470544647,0.0,0.0,,,
"wind_bin=(9.4, 12.6]",44637,0.5980688666353026,0.0,0.5759500526469072,0.622404787508121,0.0,0.0,,,
"wind_bin=(6.5, 9.4]",44205,0.7116140708064699,0.0,0.6872514986992421,0.7390726162198846,0.0,0.0,,,
daypart=Morgen-Peak (6-9),44152,0.483867095488313,0.0,0.46195755571661534,0.5086739558796883,0.0,0.0,,,
"wind_bin=(12.6, 28.1]",42777,0.5623559389391495,0.0,0.5393119550225588,0.5865735091287375,0.0,0.0,,,
is_weekend=True,36205,0.3110620080099434,0.0,0.294237881508079,0.327395042121254,0.0,0.0,,,
OVERALL: delay_minutes (late only; delay>0),35342,3.202492784788637,1.7,3.149019792315092,3.2562164704883707,1.6,1.7,0.18910386747426322,186892.0,35342.0
weekday=Friday,32729,0.554682391762657,0.0,0.5323792355403464,0.5794953252467232,0.0,0.0,,,
weekday=Wednesday,31697,0.6684607376092376,0.0,0.6396388459475659,0.6960635864592863,0.0,0.0,,,
weekday=Thursday,30738,0.7633710716377122,0.0,0.7264556086928233,0.8002327737653719,0.0,0.0,,,
weekday=Tuesday,28839,0.7277575505392003,0.0,0.6957944970352649,0.7595363050036409,0.0,0.0,,,
weekday=Monday,26684,0.6792759706190976,0.0,0.6485617785939138,0.7094139746664667,0.0,0.0,,,
"stop_busyness_bin=(60150.0, 75480.0] | daypart=Mittag (10-15)",26582,0.5278910540967573,0.0,0.5032347076969378,0.5528824016251599,0.0,0.0,,,
daypart=Spät (20-23),26042,0.2827586206896551,0.0,0.2612271522924506,0.30539273097304354,0.0,0.0,,,
destination=Tübingen WHO Ulmenweg,23018,0.32282127031019203,0.0,0.30054185854548615,0.3435676427143974,0.0,0.0,,,
line_name=5,22303,0.3521544186880689,0.0,0.3296302066986504,0.37464646011747305,0.0,0.0,,,
weekday=Saturday,20728,0.36222983404091086,0.0,0.34092941914318803,0.3856781889231957,0.0,0.0,,,
"stop_busyness_bin=(16173.0, 60150.0] | daypart=Mittag (10-15)",20666,0.35203232362334264,0.0,0.32323284622084586,0.38006423594309496,0.0,0.0,,,
"stop_busyness_bin=(60150.0, 75480.0] | daypart=Abend-Peak (16-19)",18930,0.9741996830427891,0.0,0.928555467511886,1.0209125726360273,0.0,0.0,,,
"stop_busyness_bin=(60150.0, 75480.0] | daypart=Morgen-Peak (6-9)",17799,0.46889151075903146,0.0,0.4395717456036856,0.5037877127928535,0.0,0.0,,,
"stop_busyness_bin=(0.999, 16173.0] | daypart=Mittag (10-15)",16974,0.7147637563332155,0.0,0.6811208318604925,0.7519519559326029,0.0,0.0,,,
stop_name=Tübingen Poststraße,16173,0.8444877264576763,0.0,0.7968325295245162,0.8942600321523527,0.0,0.0,,,
weekday=Sunday,15477,0.24253408283259031,0.0,0.22013972346061897,0.2666905731084835,0.0,0.0,,,
"stop_busyness_bin=(16173.0, 60150.0] | daypart=Abend-Peak (16-19)",14939,0.8112658143115336,0.0,0.7653772006158378,0.8609158912912511,0.0,0.0,,,
