stop_name,latitude,longitude,stop_ref
Tübingen Hauptbahnhof,48.51523,9.05583,
Tübingen Hauptbahnhof Süd,48.51389,9.05746,
Tübingen Steinlach/Hbf Süd,48.51431,9.05791,
Tübingen Poststraße,48.51696,9.05935,
Tübingen Moltkestraße,48.51248,9.05693,
Tübingen Hechinger Straße,48.51448,9.06045,
Tübingen Blaue Brücke,48.51678,9.06153,
Tübingen Hegelstraße,48.51346,9.05136,
Tübingen Neckarbrücke,48.51863,9.05795,
Tübingen Biererstraße,48.51737,9.06183,
Tübingen Albrechtstraße,48.51152,9.0518,
Tübingen Regierungspräsidium,48.5121,9.05019,
Tübingen Mühlstraße,48.51948,9.05861,
Tübingen Loretto,48.51149,9.05994,
Tübingen Kelternplatz,48.52285,9.05075,
Tübingen Stadtgraben,48.52291,9.0537,
Tübingen Parkhaus König,48.52354,9.05111,
Tübingen Weberstraße,48.52225,9.04845,
Tübingen Haagtor,48.52064,9.04919,
Tübingen Rümelinstraße,48.52356,9.0547,
Tübingen Hermann Hepper Halle,48.52232,9.04641,
Tübingen Nonnenhaus,48.52197,9.05762,
Tübingen Rappstraße,48.52385,9.04753,
Tübingen Gerstenmühlstr.,48.52059,9.04682,
Tübingen Calwerstraße,48.52555,9.04956,
Tübingen Österbergstraße,48.52153,9.05822,
Tübingen Hölderlinstraße,48.52488,9.05809,
Tübingen Wilhelmstraße,48.52253,9.05851,
Tübingen Schleifmühleweg,48.52053,9.04442,
Tübingen Neckarhalde,48.51764,9.04762,
Tübingen Schwärzlocher Str. 45,48.51931,9.04412,
Tübingen Doblerstraße,48.52161,9.06051,
Tübingen Uni / Neue Aula,48.52433,9.06015,
Tübingen Gmelinstraße,48.52514,9.0593,
Tübingen Aischbachstraße,48.52392,9.04268,
Tübingen Brunsstraße,48.52631,9.05903,
Tübingen Breiter Weg,48.52853,9.04669,
Tübingen Uni-Kliniken Tal,48.52638,9.05331,
Tübingen Rheinlandstraße,48.5227,9.04077,
Tübingen Jugendherberge,48.51891,9.06214,
Tübingen Wielandshöhe,48.52088,9.06268,
Tübingen Lichtenberger Weg,48.51751,9.04159,
Tübingen Sudetenstraße,48.50914,9.06909,
Tübingen Königsberger Straße,48.51009,9.06805,
Tübingen Stadtwerke,48.51119,9.07135,
Tübingen Alexanderstraße,48.50995,9.06636,
Tübingen Kiesäckerstraße,48.51182,9.06683,
Tübingen Görlitzer Weg,48.50956,9.07496,
Tübingen Aixer Straße,48.51145,9.07384,
Tübingen Galgenberg,48.50774,9.07209,
Tübingen Tilsiter Weg,48.50855,9.07448,
Tübingen Schweickhardtstraße,48.51308,9.0703,
Tübingen Sternplatz,48.51342,9.06556,
Tübingen Reutlinger Str.,48.51289,9.07458,
Tübingen Bergfriedhof Ost,48.50579,9.07197,
Tübingen Wennf. Garten,48.50686,9.07402,
Tübingen Wankheimer Täle,48.51041,9.0784,
Tübingen Hügelschule,48.5144,9.06797,
Tübingen Hechinger Eck,48.50907,9.06018,
Tübingen Landestheater,48.51573,9.06368,
Tübingen Alter Güterbahnhof,48.51543,9.0691,
Tübingen Franz. Viertel,48.51085,9.0802,
Tübingen Bergfriedhof West,48.50355,9.06632,
Tübingen Mohlstraße,48.52835,9.06115,
Tübingen Lothar-Meyer-Bau,48.5284,9.0626,
Tübingen Goethestraße,48.52978,9.05712,
Tübingen Untere Heulandsteige,48.53124,9.06321,
Tübingen Tropenklinik,48.53163,9.06125,
Tübingen Pauline-Krone-Heim,48.53047,9.06639,
Tübingen Linsenbergstraße,48.53101,9.06582,
Tübingen Im Rotbad,48.53,9.05443,
Tübingen Gottlieb-Olpp-Straße,48.53305,9.06247,
Tübingen Im Winkelrain,48.53353,9.06503,
Tübingen Corrensstraße,48.53364,9.0587,
Tübingen Engelfriedshalde,48.53177,9.05312,
Tübingen Weststadt,48.52052,9.0303,
Tübingen Städt. Fuhrpark,48.52094,9.0309,
Tübingen Schwärzlocher Täle,48.51897,9.03247,
Tübingen Handwerkerpark,48.52287,9.03094,
Tübingen Sindelf. Str. (B296),48.52332,9.02847,
Tübingen Sindelfinger Str.,48.52162,9.03515,
Tübingen Schwärzl. Str. 111,48.51882,9.0356,
Tübingen Hagellocher Weg,48.52448,9.03017,
Tübingen Westbahnhof,48.52043,9.03845,
Tübingen Hasenbühl,48.52338,9.03802,
Tübingen Weilerhalde,48.52594,9.0259,
Tübingen Stephanuskirche,48.52482,9.03471,
Tübingen Schwärzlocher Str. 79,48.51879,9.03945,
Tübingen Ursrainer Ring,48.53629,9.04552,
Tübingen Öhlerweg,48.53912,9.04577,
Tübingen Quenstedtstraße,48.53166,9.0466,
Tübingen Kunsthalle,48.54163,9.04688,
Tübingen Ferd.-Chr.-Baur-Str.,48.53912,9.04872,
Tübingen Wanne Kunsthalle,48.54233,9.04601,
Tübingen Danziger Straße,48.49992,9.05006,
Tübingen Derend. Käppele,48.50013,9.0481,
Tübingen Marienstraße,48.50132,9.05047,
Tübingen Viktor-Renner-Straße,48.53657,9.08049,
Tübingen Carlo-Steeb-Str.,48.53535,9.07987,
Tübingen Fried.-Zundel-Str.,48.53481,9.0817,
Tübingen Neuhaldenstraße,48.53275,9.08166,
Tübingen Jürgensenstraße,48.53261,9.07851,
Tübingen Kreuzstraße,48.53177,9.0787,
Tübingen Vor dem Großholz,48.52234,9.09635,
Tübingen Lustnau Bahnhof,48.52329,9.09417,
Tübingen Eisenbahnstr.(Tunnel),48.51556,9.07634,
Tübingen Neckaraue,48.52003,9.08781,
Tübingen Egeriaplatz,48.52689,9.08768,
Tübingen Am Mühlbach,48.52707,9.07891,
Tübingen Deichelweg,48.52693,9.08162,
Tübingen Dorfstraße,48.52805,9.07996,
Tübingen Benzstraße,48.52896,9.07588,
Tübingen Dieselstraße,48.52947,9.07909,
Tübingen Aeulestraße,48.52383,9.08192,
Tübingen Steige,48.52915,9.08334,
Tübingen Stuttgarter Str.,48.53099,9.07647,
Tübingen Aeulehöfe,48.52633,9.08633,
Tübingen Landhausstraße,48.52993,9.07138,
Tübingen Dorfackerschule,48.53041,9.08323,
Tübingen Düsseldorfer Str.,48.52242,9.08339,
Tübingen Wolfsbaumweg,48.5296,9.08698,
Tübingen Betriebshof TüBus,48.52085,9.0839,
Tübingen Au Ost,48.51873,9.08559,
Tübingen Gottfr.-Pressel-Weg,48.53014,9.08932,
Kusterd. Schulzentrum,48.52527,9.11335,
Kusterdingen Mozartstr.,48.52345,9.11642,
Kusterdingen Altes Rathaus,48.52017,9.12102,
Kusterdingen Bannholz,48.52432,9.1202,
Kusterdingen Abzw. B 28,48.50829,9.11074,
Kusterdingen Liststraße,48.52864,9.12117,
Bebenhausen Waldhorn,48.56044,9.06285,
Hagelloch Dornäckerweg,48.54368,9.01027,
Hagelloch Rathaus,48.54074,9.01219,
Kreßbach Kleeacker,48.48081,9.05793,
Kreßbach Schloss,48.47984,9.05481,
Tübingen Bergfriedhof Süd,48.50411,9.07039,
Tübingen Nelkenweg,48.49682,9.06351,
Tübingen Waldhörnle,48.49872,9.06391,
Tübingen Bläsibad,48.4878,9.0678,
Tübingen Fuchsstraße,48.49963,9.06172,
Tübingen Abzw. Kressbach,48.48846,9.06594,
Tübingen Horn-Straße,48.49364,9.06103,
Tübingen Waldhörnlestraße,48.49863,9.05752,
Tübingen Ernst-Simon-Straße,48.49551,9.05793,
Tübingen Paul-Dietz-Straße,48.50138,9.05604,
Dußlingen Bürgerpark,48.44968,9.05946,
Dußlingen Bahnhof,48.45255,9.05784,
Dußlingen Steinlachburg,48.44993,9.06317,
Reutlingen Stadthalle,48.49158,9.20831,
Reutlingen Stadtmitte,48.49169,9.20829,
Reutlingen Ledergraben,48.48837,9.21361,
Reutlingen Volkspark/Pomologie,48.48762,9.20655,
Reutlingen Gartentor,48.49319,9.2133,
Reutlingen Westbahnhof,48.49236,9.20246,
Reutlingen Lederstr.,48.48962,9.21608,
Reutlingen Georgenstr.,48.48663,9.2154,
Reutlingen Planie,48.49114,9.21636,
Reutlingen Friedrich-Ebertstr,48.48496,9.21269,
Reutlingen Hbf/U.d.Linden,48.49461,9.20888,
Reutlingen Burgpl./Achalmbad,48.48929,9.21779,
