group,n,mean,median,ci95_mean_low,ci95_mean_high,ci95_median_low,ci95_median_high,late_share,n_total,n_late
OVERALL: delay_minutes (all with estimated_time),186988,0.6055420668706013,0.0,0.594250473292404,0.6172939573662481,0.0,0.0,0.18907095642501123,186988.0,35354.0
is_rainy=False,180925,0.5980798673483488,0.0,0.5862971258808899,0.6096695177559762,0.0,0.0,,,
precip_bin=0,180925,0.5980798673483488,0.0,0.5862971258808899,0.6096695177559762,0.0,0.0,,,
condition=dry,163568,0.6188569891421304,0.0,0.6069952557957548,0.6315771422283089,0.0,0.0,,,
is_weekend=False,150783,0.6762506383345601,0.0,0.6637351027635744,0.6912689096250904,0.0,0.0,,,
"cloud_bin=(63.0, 100.0]",136300,0.664226705796038,0.0,0.6502966250917096,0.6774959831254587,0.0,0.0,,,
month=2025-12,82482,0.6920685725370384,0.0,0.6738624790863461,0.7123228401348173,0.0,0.0,,,
stop_name=Tübingen Neckarbrücke,75519,0.5957123372926019,0.0,0.5784992518439068,0.6132788106304373,0.0,0.0,,,
"stop_busyness_bin=(60178.0, 75519.0]",75519,0.5957123372926019,0.0,0.5784992518439068,0.6132788106304373,0.0,0.0,,,
daypart=Mittag (10-15),64222,0.520692286132478,0.0,0.5040210519759585,0.5386794244962786,0.0,0.0,,,
stop_name=Tübingen Hauptbahnhof,60178,0.4658596164711357,0.0,0.447244840307089,0.4850153295224168,0.0,0.0,,,
"stop_busyness_bin=(16179.0, 60178.0]",60178,0.4658596164711357,0.0,0.447244840307089,0.4850153295224168,0.0,0.0,,,
month=2026-01,57356,0.4169921193946579,0.0,0.4004829050142967,0.43456778715391586,0.0,0.0,,,
"stop_busyness_bin=(0.999, 16179.0]",51291,0.783899709500692,0.0,0.7591055935739215,0.8092157006102436,0.0,0.0,,,
"wind_bin=(-0.001, 6.5]",50528,0.5749010449651679,0.0,0.5548818476884104,0.5959822771532616,0.0,0.0,,,
"temp_bin=(-9.600999999999999, 0.1]",47272,0.3823129971230327,0.0,0.3630789896767642,0.40152336478253514,0.0,0.0,,,
month=2025-11,47150,0.6835397667020149,0.0,0.660422216330859,0.7081260339342522,0.0,0.0,,,
"temp_bin=(0.1, 2.9]",46754,0.4745433545792873,0.0,0.45191021089104677,0.49751015955854044,0.0,0.0,,,
"temp_bin=(6.5, 19.1]",46569,0.8562777813566965,0.0,0.8303911400287746,0.8830608881444739,0.0,0.0,,,
daypart=Abend-Peak (16-19),46409,0.9963498459350557,0.0,0.9676918270163115,1.0269029175375466,0.0,0.0,,,
"temp_bin=(2.9, 6.5]",46393,0.7133317526350957,0.0,0.689786390188175,0.7366721811480179,0.0,0.0,,,
"cloud_bin=(-0.001, 63.0]",45943,0.4520797509957991,0.0,0.43219141109635856,0.4713214200204602,0.0,0.0,,,
destination=Tübingen Hauptbahnhof,45904,0.8670529801324502,0.0,0.8393865458347857,0.8953955537643778,0.0,0.0,,,
"wind_bin=(9.4, 12.6]",44637,0.5980688666353026,0.0,0.5744602571857428,0.6239585433608891,0.0,0.0,,,
"wind_bin=(6.5, 9.4]",44205,0.7116140708064699,0.0,0.6851387852052935,0.738079176563737,0.0,0.0,,,
daypart=Morgen-Peak (6-9),44152,0.483867095488313,0.0,0.46178281844537056,0.5062056078999819,0.0,0.0,,,
"wind_bin=(12.6, 28.1]",42873,0.5621836587129428,0.0,0.5400966225829776,0.5862478133090756,0.0,0.0,,,
is_weekend=True,36205,0.31106200800994344,0.0,0.29426239469686505,0.3287052893246789,0.0,0.0,,,
