line_name,count,destinations,stops
5,800,"['Tübingen Derend. Käppele', 'Tübingen WHO Ahornweg', 'Tübingen Hauptbahnhof', 'WHO Ahornweg', 'Derend.Käppele']","['Tübingen Hegelstraße', 'Tübingen Hauptbahnhof', 'Tübingen Neckarbrücke']"
6,755,"['Rappenberg', 'Tübingen Hirschauer Straße', 'Hauptbahnhof', 'Tübingen Hauptbahnhof', 'Tübingen Sand Drosselweg']","['Tübingen Neckarhalde', 'Tübingen Hauptbahnhof', 'Tübingen Biesingerstraße']"
3,529,"['Tübingen Nelkenweg', 'Tübingen WHO Ulmenweg', 'Tübingen Hauptbahnhof', 'WHO Ulmenweg', 'Hauptbahnhof']","['Tübingen Hauptbahnhof', 'Tübingen Neckarbrücke', 'Tübingen Poststraße']"
4,518,"['Tübingen WHO Ulmenweg', 'Tübingen Wennf. Garten', 'Tübingen Hauptbahnhof', 'WHO Ulmenweg']","['Tübingen Hauptbahnhof', 'Tübingen Neckarbrücke', 'Tübingen Poststraße']"
1,502,"['Tübingen Franz. Viertel', 'Tübingen Stauden', 'Tübingen Hauptbahnhof', 'Pfrondorf Lusstraße']","['Tübingen Hauptbahnhof', 'Tübingen Neckarbrücke', 'Tübingen Poststraße']"
2,458,"['Tübingen Mühlbachäcker', 'Tübingen WHO Ulmenweg', 'WHO Ulmenweg', 'Tübingen Hauptbahnhof', 'Hauptbahnhof']","['Tübingen Hauptbahnhof', 'Tübingen Neckarbrücke', 'Tübingen Hegelstraße']"
18,451,"['Hagelloch Dornäckerweg', 'Poltringen Ammerbrücke', 'Rottenburg E.-Bolz-Platz', 'Oberndorf Feuersee', 'Tübingen Hauptbahnhof']","['Tübingen Hauptbahnhof', 'Tübingen Neckarbrücke', 'Tübingen Freibad']"
19,409,"['Tübingen BG Unfallklinik', 'Rottenburg Bahnhof', 'Bühl Römerstraße', 'Tübingen Hauptbahnhof', 'Rottenburg E.-Bolz-Platz']","['Tübingen Hauptbahnhof', 'Tübingen Neckarbrücke', 'Tübingen Freibad']"
11,372,"['Tübingen Schwärzlocher Str. 45', 'Tübingen Hauptbahnhof']","['Tübingen Hauptbahnhof', 'Tübingen Haagtor', 'Tübingen Neckarbrücke']"
12,331,"['Tübingen Weststadt', 'Tübingen Hauptbahnhof']","['Tübingen Hauptbahnhof', 'Tübingen Neckarbrücke', 'Tübingen Kelternplatz']"
